abbr,fips,full,geoid_data,NAMELSAD,total_pop,voting_pop,black_vote,hisp_vote,black_pop,hisp_total,prop_black_vote,prop_hisp_vote,total_pop_12,voting_pop_12,polls_2012,polls_2016,governor,conv_voting,shelby,prop_16,prop_12,change,prop
AK,02,Alaska,05000US02275,Wrangell City and Borough,2401,1906,7,28,7,72,0.0036726128016789086,0.014690451206715634,2368,1917,1,1,dem,8.3,TRUE,1906,1917,-11,-0.5738132498695879
AK,02,Alaska,05000US02282,Yakutat City and Borough,646,502,7,10,7,18,0.013944223107569721,0.0199203187250996,644,492,1,1,dem,8.3,TRUE,502,492,10,2.0325203252032518
AZ,04,Arizona,05000US04001,Apache County,72346,51155,252,2787,361,4303,0.004926204672075066,0.054481477861401624,71618,49019,41,39,rep,73.2,TRUE,1311.6666666666667,1195.5853658536585,116.08130081300828,9.709160393588894
AZ,04,Arizona,05000US04003,Cochise County,128177,99603,4021,30130,5076,44097,0.040370269971788,0.30250092868688694,131118,101175,47,17,rep,73.2,TRUE,5859,2152.659574468085,3706.340425531915,172.17494440326172
AZ,04,Arizona,05000US04005,Coconino County,138064,107969,1671,13155,2136,18930,0.015476664598171697,0.12184052829978975,134011,102494,54,54,rep,73.2,TRUE,1999.4259259259259,1898.037037037037,101.38888888888891,5.341776103967063
AZ,04,Arizona,05000US04007,Gila County,53179,42351,276,6934,332,9864,0.006516965360912375,0.1637269485962551,53436,42053,32,16,rep,73.2,TRUE,2646.9375,1314.15625,1332.78125,101.41725917294842
AZ,04,Arizona,05000US04009,Graham County,37529,27083,686,8363,741,12046,0.025329542517446367,0.30879149281837315,37115,26701,2,9,rep,73.2,TRUE,3009.222222222222,13350.5,-10341.277777777777,-77.4598537716024
AZ,04,Arizona,05000US04011,Greenlee County,9224,6610,124,2930,175,4290,0.01875945537065053,0.443267776096823,8592,6086,2,5,rep,73.2,TRUE,1322,3043,-1721,-56.556030233322375
AZ,04,Arizona,05000US04012,La Paz County,20304,16792,77,3614,77,5316,0.0045855169128156265,0.21522153406383993,20460,16901,10,9,rep,73.2,TRUE,1865.7777777777778,1690.1,175.67777777777792,10.394519719411747
AZ,04,Arizona,05000US04013,Maricopa County,4088549,3064628,154999,794638,216064,1238292,0.05057677473416023,0.25929346073977005,3841819,2832054,676,646,rep,73.2,TRUE,4744.006191950464,4189.42899408284,554.5771978676239,13.237536634489095
AZ,04,Arizona,05000US04015,Mohave County,203629,165580,1804,22228,2100,31987,0.010895035632322744,0.134243266094939,201216,159771,6,25,rep,73.2,TRUE,6623.2,26628.5,-20005.3,-75.12740109281408
AZ,04,Arizona,05000US04017,Navajo County,108209,78002,752,7848,905,11957,0.00964077844157842,0.10061280479987693,107415,75537,31,2,rep,73.2,TRUE,39001,2436.6774193548385,36564.32258064516,1500.5811721408052
AZ,04,Arizona,05000US04019,Pima County,1003338,784048,26630,247504,35337,362265,0.03396475725975961,0.3156745505377222,981048,756657,230,189,rep,73.2,TRUE,4148.402116402116,3289.813043478261,858.5890729238549,26.09841536819016
AZ,04,Arizona,05000US04021,Pinal County,397604,301213,13369,77573,18223,116072,0.04438387453396766,0.2575353653394774,368374,272430,97,95,rep,73.2,TRUE,3170.6631578947367,2808.556701030928,362.10645686380894,12.892972989681558
AZ,04,Arizona,05000US04023,Santa Cruz County,46547,33301,157,26399,194,38736,0.004714573135941863,0.7927389567880845,47057,32701,19,6,rep,73.2,TRUE,5550.166666666667,1721.1052631578948,3829.061403508772,222.47688653761864
AZ,04,Arizona,05000US04025,Yavapai County,218586,180558,1084,20265,1159,30722,0.006003611028035313,0.11223540358222843,211280,171178,29,29,rep,73.2,TRUE,6226.137931034483,5902.689655172414,323.44827586206884,5.479676126605052
AZ,04,Arizona,05000US04027,Yuma County,203292,150066,3397,84212,4230,125972,0.022636706515799715,0.5611664201084856,196420,141571,11,10,rep,73.2,TRUE,15006.6,12870.09090909091,2136.5090909090904,16.600574976513546
CA,06,California,05000US06001,Alameda County,1605217,1261005,144410,251725,182092,362070,0.11451976796285503,0.19962252330482433,1515136,1174273,632,528,dem,57.9,FALSE,2388.2670454545455,1858.0268987341772,530.2401467203683,28.537807880047723
CA,06,California,05000US06005,Amador County,36963,31218,872,3659,898,4822,0.02793260298545711,0.11720802101351785,37764,31437,27,27,dem,57.9,FALSE,1156.2222222222222,1164.3333333333333,-8.111111111111086,-0.6966313579540011
CA,06,California,05000US06007,Butte County,223877,178405,2618,23550,3366,34503,0.014674476612202572,0.13200302682099718,220101,174062,42,40,dem,57.9,FALSE,4460.125,4144.333333333333,315.79166666666697,7.61984235502293
CA,06,California,05000US06009,Calaveras County,44787,36745,242,3554,258,5028,0.006585930058511362,0.09672064226425364,45507,36742,18,15,dem,57.9,FALSE,2449.6666666666665,2041.2222222222222,408.44444444444434,20.009798051276466
CA,06,California,05000US06011,Colusa County,21361,15425,178,8020,222,12351,0.011539708265802268,0.5199351701782821,21329,14977,13,10,dem,57.9,FALSE,1542.5,1152.076923076923,390.4230769230769,33.88862923148828
CA,06,California,05000US06013,Contra Costa County,1107925,847260,73925,187547,97032,277676,0.08725184713075089,0.22135708047116587,1052047,792354,381,278,dem,57.9,FALSE,3047.6978417266187,2079.6692913385828,968.0285503880359,46.547234909881404
CA,06,California,05000US06015,Del Norte County,27628,21773,626,3891,642,5326,0.028751205621641483,0.17870757360033068,28496,22435,16,17,dem,57.9,FALSE,1280.764705882353,1402.1875,-121.42279411764707,-8.659526212981293
CA,06,California,05000US06017,El Dorado County,183000,144594,1251,15218,1784,22868,0.008651811278476286,0.10524641409740376,180441,139636,63,58,dem,57.9,FALSE,2493,2216.4444444444443,276.55555555555566,12.477441347503513
CA,06,California,05000US06019,Fresno County,963160,684914,33752,324289,48434,501136,0.04927917957582996,0.47347404199651344,930517,653519,270,278,dem,57.9,FALSE,2463.7194244604316,2420.4407407407407,43.27868371969089,1.788049713063666
CA,06,California,05000US06021,Glenn County,27976,20404,170,7176,195,11255,0.008331699666732013,0.3516957459321702,28078,20254,7,4,dem,57.9,FALSE,5101,2893.4285714285716,2207.5714285714284,76.29604028833809
